model,status,coverage_pct,diversity,peak_quality,mean_quality,qd_score,num_filled
sonnet_4_6,ok,23.2,84.66666666666667,0.98,0.5643604069397865,81.66333333333331,145.0
nova_premier,ok,27.94666666666667,90.66666666666667,0.9575,0.5117648986630444,90.11416666666663,174.66666666666666
llama4_maverick,ok,24.266666666666666,128.0,0.9874999999999999,0.7056847266199081,122.39833333333335,151.66666666666666
mistral_large_3,ok,27.946666666666662,146.0,0.9933333333333333,0.745248398947465,139.42333333333337,174.66666666666666
haiku_4_5,ok,23.46666666666667,94.66666666666667,0.9725,0.5828587537105174,85.50666666666665,146.66666666666666
haiku_3_5,ok,18.56,70.66666666666667,0.9824999999999999,0.5348802528490029,66.41083333333334,116.0
nova_lite,ok,20.16,84.66666666666667,0.9533333333333333,0.5884677128427128,80.45250000000003,126.0
nova_micro,ok,22.986666666666665,81.0,0.9633333333333334,0.517161431948666,78.99666666666667,143.66666666666666
llama3_1_8b,ok,23.84,124.0,0.9858333333333333,0.7552878617691942,114.14583333333331,149.0
